N0: H502(260) H4681(176) H511(150) H6279(138) H3131(120) H2871(120)
N706: H572(98) H3229(86) H1524(74) H564(52) H36(48) H11603(40)
N707: H620(234) H9288(220) H5738(209) H11951(160) H11487(121) H4672(113)
N708: H9695(89) H3277(79) H9880(65) H5225(41) H4660(25) H991(24)
N709: H3432(109) H9063(104) H8417(83) H4005(72) H3220(55) H6426(42)
N710: H2663(141) H952(137) H11501(130) H11315(121) H4046(118) H3183(110)
N711: H6338(51) H1536(45) H9927(38) H6017(36) H11398(27) H8171(10)
N712: H1817(170) H3224(133) H1691(115) H10514(103) H11697(98) H1872(92)
N713: H9265(78) H583(61) H10547(57) H8658(46) H9270(44) H6207(41)
N714: H6523(108) H5214(107) H8654(87) H7293(83) H5876(69) H1663(54)
N715: H6427(97) H4243(74) H2970(73) H9432(63) H2282(45) H5902(40)
N716: H1271(84) H5493(69) H6245(59) H10827(46) H593(40) H1347(36)
N717: H9102(131) H9129(128) H2889(116) H8594(116) H9069(102) H7664(91)
N718: H11744(190) H1324(122) H5483(111) H8535(102) H392(87) H8279(79)
N719: H7872(62) H6740(61) H5295(39) H2333(36) H7922(33) H4564(26)
N720: H8000(142) H4153(116) H10140(94) H4232(86) H10679(72) H5887(70)
N721: H10493(141) H11152(48) H7177(42) H4387(33) H2943(30) H9909(24)
N722: H1206(175) H2823(121) H8347(119) H3051(106) H11982(105) H4196(96)
N723: H1043(224) H7742(186) H4516(145) H10892(129) H11845(96) H3482(90)
N724: H9992(108) H3581(105) H151(75) H8466(73) H7417(70) H3753(66)
N725: H5325(142) H1276(139) H9143(103) H4728(75) H6880(74) H9224(68)
N726: H5812(160) H5315(103) H2864(95) H11822(70) H4845(51) H6249(50)
N727: H2284(71) H4708(66) H8335(57) H7361(44) H7814(29) H9606(29)
N728: H246(161) H7395(143) H2807(112) H8714(104) H11094(84) H1687(52)
N729: H10729(108) H11795(96) H5661(83) H5595(73) H5787(70) H3920(58)
N730: H513(18) H6011(10) H10054(8) H8140(6) H9496(4) H10874(4)
N731: H7338(111) H10314(106) H5940(100) H9913(77) H1627(70) H5254(68)
N732: H3315(104) H4413(93) H4422(70) H7771(56) H10280(55) H4070(44)
N733: H6033(85) H8913(61) H3404(41) H2954(26) H2614(20) H2564(10)
N734: H2957(89) H8455(75) H11748(65) H2234(57) H3453(55) H11700(54)
N735: H11399(114) H2590(103) H10890(102) H10854(73) H10438(68) H9907(59)
N736: H11071(77) H172(63) H962(58) H5709(53) H9300(38) H5174(24)
N737: H4560(66) H1035(54) H10163(45) H11751(42) H10495(18) H7078(6)
N738: H1736(93) H5875(75) H2342(70) H445(62) H6094(54) H2788(38)
N739: H9013(80) H5749(80) H3790(77) H11530(64) H3832(62) H10817(58)
N740: H7145(110) H11571(90) H6763(89) H1972(82) H1517(71) H720(68)
N741: H9380(141) H10097(102) H9584(90) H11910(90) H7075(57) H7482(54)
N742: H4277(118) H8421(82) H6404(70) H7853(68) H5182(62) H11813(60)
N743: H4635(152) H941(143) H1915(133) H5507(111) H11046(80) H4293(71)
N744: H1094(85) H10906(80) H11343(72) H11723(67) H8490(62) H2484(55)
N745: H7541(97) H4097(95) H3142(94) H3867(93) H5423(87) H4605(60)
N746: H5052(154) H1125(144) H2908(52) H6709(46) H7135(46) H4348(43)
N747: H5732(113) H2969(87) H6711(75) H1101(48) H713(46) H11959(44)
N748: H2946(68) H6586(68) H10510(63) H9999(56) H3638(50) H544(35)
N749: H484(39) H2449(39) H11020(39) H610(25) H6312(21) H673(18)
N750: H3034(104) H5130(82) H6642(67) H8771(67) H3641(52) H2909(45)
N751: H546(120) H4984(100) H10626(85) H2741(76) H6788(70) H6298(68)
N752: H6987(115) H4919(80) H1900(35) H2364(30) H4408(30) H7838(28)
N753: H3885(96) H2476(87) H3322(81) H1805(78) H9423(68) H9935(61)
N754: H7857(158) H5096(146) H3835(138) H2652(122) H8511(110) H7846(56)
N755: H9082(60) H1609(56) H9543(44) H4092(38) H2444(28) H10664(28)
N756: H3218(35) H5762(28) H746(25) H8900(18) H6512(18) H3685(11)
N757: H4023(72) H7970(39) H3697(28) H321(23) H3331(23) H4782(18)
N758: H11316(58) H8471(28) H769(19) H2182(18) H8340(13) H11388(8)
N759: H4763(153) H5980(126) H6083(94) H11928(92) H9238(91) H8385(83)
N760: H9865(165) H11186(145) H296(125) H3162(125) H2058(95) H6618(95)
N761: H10662(148) H576(134) H2500(122) H9622(117) H5949(108) H11303(104)
N762: H8560(182) H9524(160) H4707(142) H6406(142) H7400(133) H8710(122)
N763: H5606(199) H4268(144) H3911(142) H8426(142) H8346(111) H10988(103)
N764: H7895(53) H2858(52) H6292(47) H8575(40) H3915(36) H5087(29)
N765: H3704(102) H6398(71) H5927(40) H6392(17) H308(5) H2264(5)
N766: H1695(136) H5748(103) H8739(70) H7263(47) H10402(35) H8664(35)
N767: H2406(64) H8214(53) H7168(39) H2945(38) H9778(23) H10120(23)
N768: H7518(101) H8262(84) H260(76) H548(67) H3926(65) H5436(55)
N769: H6285(102) H3925(92) H9738(86) H1345(63) H11115(57) H11943(57)
N770: H7413(47) H7750(45) H10185(31) H1561(29) H8549(21) H10753(9)
N771: H10614(129) H688(96) H8382(92) H6637(77) H5695(68) H10720(56)
N772: H1791(49) H2623(37) H10646(32) H1438(24) H11215(24) H11856(23)
N773: H9734(128) H5317(103) H7809(51) H3998(46) H8811(42) H6844(41)
N774: H126(121) H11355(114) H3612(71) H4603(69) H11150(64) H6876(58)
N775: H9721(21) H9456(20) H7416(14) H1200(4) H11093(4) H11049(4)
N776: H11840(80) H3788(78) H4762(42) H9216(38) H4463(36) H8306(30)
N777: H9960(100) H11706(86) H3070(74) H6156(70) H6211(61) H9179(58)
N778: H9193(188) H5957(180) H8634(146) H5990(145) H3188(68) H2041(58)
N779: H247(128) H4447(114) H2078(94) H8034(90) H2551(70) H2448(46)
N780: H785(137) H8362(131) H5012(128) H19(104) H8563(103) H4489(101)
N781: H8470(80) H6143(80) H9804(71) H1292(68) H1779(67) H2877(30)
N782: H10520(111) H7252(109) H1849(108) H2471(104) H7188(102) H9607(80)
N783: H7448(55) H1312(50) H11123(45) H6821(45) H10821(45) H6359(40)
N784: H10342(104) H10977(104) H9378(90) H10286(89) H5412(55) H5619(49)
N785: H405(84) H1758(82) H4065(82) H11250(78) H7195(76) H7032(58)
N786: H5593(27) H10000(24) H11227(24) H8631(21) H4263(18) H3139(15)
N787: H9089(86) H1197(84) H7650(78) H1006(60) H10220(38) H10573(36)
N788: H96(88) H7259(73) H5818(65) H4403(57) H7655(55) H9843(45)
N789: H4469(174) H10005(152) H7120(137) H4537(130) H3552(113) H2894(112)
N790: H1990(107) H367(96) H9508(87) H1770(82) H11257(71) H4296(64)
N791: H11544(48) H3723(48) H797(42) H7991(24) H7632(18) H158(12)
N792: H3426(200) H1330(190) H799(180) H7985(180) H6915(130) H7334(110)
N793: H73(142) H5961(115) H9749(113) H10608(91) H5227(70) H6133(67)
N794: H5494(84) H9164(58) H11137(42) H1570(34) H8827(32) H4079(22)
N795: H6645(194) H6102(168) H3450(166) H8456(148) H8267(142) H8039(137)
N796: H7189(141) H668(126) H6848(125) H10912(98) H6757(94) H3743(79)
N797: H4452(116) H1526(79) H3145(45) H68(35) H5266(35) H1601(30)
N798: H9211(159) H8135(142) H1283(139) H11018(119) H1733(100) H7749(99)
N799: H3455(92) H9210(86) H11126(74) H10593(64) H7170(56) H2647(54)
N800: H5637(219) H1267(195) H3362(182) H5552(165) H1845(143) H5191(133)
N801: H5171(160) H3646(114) H9245(114) H4412(113) H6842(74) H7875(66)
N802: H1077(142) H10981(118) H7139(102) H7512(101) H6715(73) H2876(70)
N803: H6874(134) H16(124) H11600(113) H5952(91) H11439(42) H6024(25)
N804: H10463(64) H11970(58) H5457(46) H10226(46) H3947(42) H5450(36)
N805: H4534(93) H2918(85) H7698(79) H7461(40) H9966(32) H6235(27)
N806: H10812(107) H7705(101) H5910(95) H4003(93) H8445(71) H3150(61)
N807: H6159(76) H4251(58) H10928(44) H5490(42) H11349(36) H9851(32)
N808: H5574(155) H230(130) H4909(120) H6525(115) H2436(105) H10366(105)
N809: H11935(133) H5396(112) H2016(103) H8430(101) H2230(97) H11859(77)
N810: H901(104) H1092(102) H101(92) H7787(92) H5245(86) H3825(64)
N811: H5462(96) H2983(70) H6115(70) H5813(50) H11749(40) H3095(38)
N812: H2688(52) H374(30) H9457(29) H6755(19) H4606(17) H3752(9)
N813: H2197(112) H4964(88) H2799(55) H1211(32) H7157(32) H135(32)
N814: H5576(176) H3763(111) H8220(97) H11746(85) H6105(82) H11418(75)
N815: H2651(116) H4384(114) H7095(100) H11681(74) H9103(67) H8672(64)
N816: H9855(116) H11040(89) H6623(70) H1957(55) H11548(53) H9081(50)
N817: H2367(112) H1596(106) H10956(96) H8287(84) H5235(82) H6177(82)
N818: H7408(96) H11469(84) H7200(78) H2387(76) H2250(54) H10902(52)
N819: H973(55) H2543(39) H11872(35) H8125(35) H5654(32) H3374(22)
N820: H9565(86) H3407(81) H3739(68) H2841(58) H9392(57) H500(39)
N821: H3237(194) H11427(193) H10141(153) H6853(147) H4325(117) H6371(117)
N822: H5383(143) H631(142) H2012(116) H10440(93) H7904(90) H6417(81)
N823: H4943(146) H4299(119) H3645(78) H581(73) H2213(72) H8213(64)
N824: H1576(192) H8434(190) H1016(132) H728(112) H4730(100) H3932(92)
N825: H658(186) H399(152) H4444(136) H4205(122) H7996(120) H9283(110)
N826: H8045(75) H10721(71) H11796(32) H2596(28) H2534(18) H9671(18)
N827: H7548(114) H9739(112) H3993(68) H11779(26) H4147(26) H5711(25)
N828: H1497(144) H7619(124) H7900(102) H10531(80) H3953(64) H5350(62)
N829: H8871(95) H552(82) H2747(78) H11580(72) H1657(52) H1105(44)
N830: H3215(118) H6713(117) H7196(112) H8199(96) H9593(80) H11521(72)
N831: H7127(113) H2265(98) H10569(87) H11792(79) H7231(48) H1786(46)
N832: H10801(201) H9832(162) H3529(128) H5783(123) H11127(96) H10157(88)
N833: H11142(76) H2971(70) H3526(43) H8633(40) H5781(39) H2765(39)
N834: H10377(118) H10563(112) H7636(108) H3583(104) H6850(90) H11699(88)
N835: H8482(140) H3785(94) H8542(93) H8592(80) H9941(74) H695(69)
N836: H4912(51) H7897(44) H10672(43) H8084(39) H11710(32) H6070(24)
N837: H6861(52) H3935(47) H878(45) H10612(44) H7404(43) H7049(37)
N838: H6231(75) H9130(66) H2314(64) H5798(50) H9121(42) H7394(39)
N839: H2108(165) H6823(144) H5671(71) H10703(63) H11271(62) H8318(47)
N840: H8339(66) H4456(58) H6278(54) H4600(43) H2115(36) H6010(35)
N841: H9137(105) H10752(85) H4677(84) H10758(81) H4019(77) H3269(57)
N842: H7618(139) H5833(128) H2288(125) H5681(91) H1673(88) H5066(66)
N843: H3411(194) H8366(134) H4940(118) H6727(114) H3843(113) H4631(97)
N844: H11177(66) H9523(56) H7682(52) H8297(52) H6511(50) H6009(48)
N845: H10995(135) H10766(130) H1002(125) H11125(100) H10660(80) H2766(75)
N846: H7520(135) H2246(119) H6951(74) H3247(69) H10109(59) H6835(50)
N847: H948(104) H6223(89) H571(68) H3170(60) H8303(56) H3128(52)
N848: H649(102) H1084(77) H4633(73) H5432(54) H942(46) H4342(41)
N849: H10351(114) H5768(102) H8080(82) H11652(64) H9906(60) H6947(58)
N850: H2682(161) H7645(146) H8368(127) H11084(119) H4514(96) H6772(72)
N851: H330(112) H11903(103) H10333(97) H9885(87) H1079(71) H10749(52)
N852: H6811(191) H9776(143) H5345(113) H9634(109) H11583(105) H9751(89)
N853: H6771(67) H3115(58) H4584(55) H2937(52) H3332(48) H125(36)
N854: H1188(160) H8770(137) H10135(128) H577(124) H10175(97) H7995(74)
N855: H6785(123) H9862(111) H5136(103) H5676(87) H5528(68) H9309(65)
N856: H1834(56) H10931(40) H5304(37) H6707(28) H5799(21) H10536(21)
N857: H3135(126) H11726(126) H8281(121) H6276(120) H8257(52) H8812(48)
N858: H2104(84) H4300(74) H1263(70) H4777(45) H5857(45) H8274(41)
N859: H370(24) H887(22) H8004(22) H11284(16) H5907(16) H6836(13)
N860: H11536(136) H7849(91) H3896(55) H4759(52) H2472(51) H223(50)
N861: H3016(122) H11491(118) H11806(114) H2273(108) H1173(81) H9710(79)
N862: H7270(90) H2857(74) H206(68) H9958(58) H7464(54) H11592(45)
N863: H9790(157) H7379(103) H427(102) H7826(98) H5929(94) H4129(90)
N864: H6756(134) H10449(101) H6038(76) H2304(75) H87(62) H9547(34)
N865: H10435(84) H7940(82) H11714(82) H5850(75) H6814(71) H4508(46)
N866: H7440(94) H10982(82) H944(74) H558(64) H10592(64) H7764(62)
N867: H6925(43) H4835(37) H3796(32) H9969(26) H2093(18) H2497(15)
N868: H4266(129) H3558(81) H3981(79) H3427(70) H5299(69) H1088(54)
N869: H9568(89) H2023(69) H3810(62) H10323(62) H2468(60) H9486(58)
N870: H11670(125) H5950(60) H11591(55) H3052(55) H8205(50) H286(31)
N871: H10786(48) H1830(33) H9039(27) H8237(24) H6333(21) H922(12)
N872: H4563(97) H5564(94) H9336(92) H614(83) H3718(82) H2854(57)
N873: H4313(113) H10808(110) H1396(89) H2694(82) H4648(80) H10511(76)
N874: H9417(130) H1508(128) H7150(128) H1863(126) H5133(120) H3564(114)
N875: H619(152) H5324(139) H7226(127) H4378(119) H8373(78) H2589(61)
N876: H10363(162) H94(88) H2382(88) H2730(81) H5656(74) H9186(53)
N877: H10347(80) H8866(58) H123(50) H11058(42) H8816(40) H2166(16)
N878: H6895(170) H448(139) H8128(116) H11563(97) H11585(92) H4920(80)
N879: H4416(90) H2514(87) H1159(57) H10952(42) H10829(36) H4258(27)
N880: H9641(148) H6747(129) H4898(93) H4959(89) H1489(80) H654(73)
N881: H5175(127) H9402(107) H934(74) H11615(70) H4817(63) H4309(49)
N882: H6100(107) H7409(102) H5608(92) H10441(71) H1565(59) H2898(51)
N883: H9338(120) H763(65) H4105(53) H2989(40) H11736(31) H4890(30)
N884: H4334(149) H3919(131) H2210(115) H10992(62) H11756(61) H11972(54)
N885: H11802(140) H3608(100) H1472(90) H10320(90) H9212(85) H9191(70)
N886: H1496(80) H5601(72) H10173(32) H726(24) H305(16) H3602(16)
N887: H2401(170) H7063(115) H3967(113) H9678(99) H8922(79) H9513(58)
N888: H7575(105) H8931(105) H70(85) H4905(81) H808(65) H4045(60)
N889: H9264(42) H11222(28) H8610(27) H6437(25) H51(24) H4937(24)
N890: H2632(80) H11988(76) H161(72) H1869(48) H7526(48) H6117(48)
N891: H906(70) H7405(66) H5882(50) H5481(40) H7271(40) H6751(14)
N892: H6165(114) H10170(112) H1362(111) H8898(100) H8398(88) H5160(78)
N893: H8022(85) H8018(66) H2579(58) H5884(50) H11679(44) H8699(44)
N894: H3381(78) H10171(60) H2592(57) H8870(52) H4075(32) H9333(16)
N895: H10028(31) H69(27) H2496(27) H3880(26) H4838(25) H72(22)
N896: H7471(45) H774(44) H2086(43) H1887(42) H5305(36) H6506(35)
N897: H2502(92) H4974(92) H2122(74) H1715(73) H7216(71) H10133(40)
N898: H10695(136) H2136(104) H2141(83) H6881(67) H10826(45) H5158(26)
N899: H3661(70) H8752(70) H5816(70) H5698(63) H3295(63) H1649(42)
N900: H3210(188) H2173(93) H8051(88) H5837(82) H7025(82) H11791(79)
N901: H10830(99) H4933(95) H9218(72) H6852(49) H1401(48) H10448(44)
N902: H3492(90) H6891(86) H11755(81) H10658(79) H7630(74) H1410(67)
N903: H9285(180) H3023(162) H4089(155) H195(123) H10111(108) H3702(99)
N904: H9707(190) H11394(170) H8298(146) H7505(131) H2397(120) H9978(117)
N905: H9002(78) H8337(48) H1354(42) H10037(6) H5594(6) H7903(6)
N906: H2218(98) H4846(88) H5153(80) H8837(80) H2536(48) H10263(48)
N907: H2217(80) H680(72) H8773(72) H11949(64) H3665(56) H630(48)
N908: H175(107) H11559(93) H9754(74) H6608(62) H6151(59) H914(53)
N909: H5369(86) H9313(76) H6625(66) H8295(64) H809(54) H6721(44)
N910: H5776(87) H8271(87) H10103(77) H2183(68) H2006(57) H1233(49)
N911: H57(76) H3978(52) H173(50) H6765(41) H4883(40) H3949(32)
N912: H3090(98) H9335(93) H4190(88) H3084(82) H9746(69) H5752(67)
N913: H1099(96) H6478(69) H4572(57) H10785(50) H469(32) H2114(32)
N914: H5039(144) H1684(112) H8724(100) H3749(93) H2431(90) H7434(79)
N915: H1818(32) H1986(32) H6465(31) H11291(21) H8682(15) H6330(11)
N916: H10238(163) H8962(151) H10760(129) H8444(127) H6600(117) H7305(111)
N917: H8469(130) H10476(123) H3879(77) H7513(77) H10112(68) H5010(62)
N918: H4359(125) H7013(123) H9192(115) H2956(90) H4017(63) H9914(63)
N919: H1295(90) H6959(76) H3420(75) H2801(59) H1835(41) H5075(30)
N920: H421(58) H7677(50) H7623(48) H7616(44) H10300(38) H5468(32)
N921: H8660(42) H10750(42) H9127(24) H10383(18) H11854(6) H7412(6)
N922: H11711(78) H4303(29) H6594(29) H403(23) H11953(22) H5456(17)
N923: H1692(98) H10058(96) H7769(72) H10277(69) H10299(55) H10733(39)
N924: H3662(177) H7899(156) H4032(86) H7534(85) H2462(75) H3212(69)
N925: H7703(48) H10282(44) H8836(33) H10101(30) H3963(27) H4324(16)
N926: H4468(67) H6638(67) H4347(51) H5252(45) H11983(43) H4216(41)
N927: H8603(120) H283(113) H5071(103) H6495(103) H1165(80) H7882(71)
N928: H10088(50) H4340(45) H124(31) H11931(30) H2109(27) H129(26)
N929: H6339(101) H2206(88) H11479(72) H1838(63) H7739(44) H1163(40)
N930: H292(208) H2418(163) H5157(127) H1150(125) H7791(114) H11547(103)
N931: H604(176) H171(130) H2499(120) H7090(102) H3268(100) H1620(98)
N932: H4006(61) H7312(36) H5883(33) H1917(31) H7406(23) H9384(19)
N933: H7570(152) H931(117) H3600(114) H4494(107) H10343(105) H11088(63)
N934: H9816(96) H1966(82) H5967(74) H3452(58) H11370(54) H237(44)
N935: H10008(91) H7331(77) H7403(44) H11013(39) H9441(31) H340(12)
N936: H7500(94) H10413(60) H9317(49) H1654(48) H7483(48) H6845(43)
N937: H5322(134) H9266(134) H7683(88) H1454(84) H8565(74) H5210(64)
N938: H1939(52) H6867(30) H1807(30) H5686(26) H8684(25) H1469(23)
N939: H10656(114) H10787(114) H2879(102) H5994(78) H650(66) H10950(66)
N940: H6016(71) H2800(60) H10172(58) H7752(37) H5267(35) H3658(30)
N941: H27(136) H924(97) H3881(96) H2062(52) H574(50) H2717(43)
N942: H11189(132) H2739(123) H3471(56) H349(53) H1677(53) H3119(49)
N943: H9241(116) H10216(80) H432(70) H9745(40) H8627(36) H5817(32)
N944: H419(214) H1645(152) H5935(124) H11237(110) H3059(88) H4896(88)
N945: H1727(88) H6(84) H1714(76) H4513(76) H9196(72) H6527(64)
N946: H4976(84) H11011(75) H11182(68) H2532(61) H4264(35) H5366(30)
N947: H7166(260) H4151(228) H10451(202) H2489(182) H11104(180) H9077(166)
N948: H10807(115) H7277(105) H431(57) H8319(51) H2718(50) H10942(50)
N949: H6701(97) H4292(94) H2757(28) H8537(25) H2385(18) H7519(11)
N950: H9419(111) H2629(87) H240(81) H2672(75) H6870(63) H8572(45)
N951: H11954(120) H1372(111) H9689(103) H7949(92) H880(72) H9075(61)
N952: H11190(134) H2049(118) H2322(106) H4884(106) H6200(95) H3784(92)
N953: H6228(62) H2118(54) H2179(32) H7585(32) H6457(26) H7848(22)
N954: H11460(75) H741(73) H9536(71) H6872(69) H5100(39) H3175(35)
N955: H3760(143) H3087(114) H5953(90) H5448(89) H2597(88) H10655(73)
N956: H9976(90) H2707(80) H4958(74) H6483(72) H11435(70) H4034(60)
N957: H7673(121) H2316(113) H1750(88) H11674(77) H8914(47) H8121(36)
N958: H10360(149) H4543(145) H2570(133) H2483(118) H255(88) H1641(63)
N959: H220(46) H1767(45) H1072(43) H9060(39) H3483(37) H4338(35)
N960: H4902(105) H6851(99) H5706(92) H4973(61) H9468(58) H6052(38)
N961: H8292(92) H1515(68) H5360(68) H7085(68) H11747(63) H10303(61)
N962: H925(90) H8378(77) H7584(75) H304(71) H7980(53) H8744(41)
N963: H7158(96) H4140(95) H4013(80) H10691(72) H1739(65) H10358(38)
N964: H5999(190) H9974(190) H9809(118) H1363(106) H4925(92) H11262(80)
N965: H4828(99) H3248(71) H6886(70) H6254(55) H11354(49) H2084(48)
N966: H6348(132) H9373(117) H3071(108) H2208(101) H6170(84) H9673(25)
N967: H11028(122) H7111(104) H1722(99) H4544(94) H2420(77) H9368(67)
N968: H1277(110) H7798(105) H3684(100) H7634(100) H34(85) H4936(75)
N969: H6346(165) H6553(159) H236(114) H3319(100) H1773(97) H10754(80)
N970: H6209(175) H5965(160) H7938(113) H11579(111) H11574(101) H11817(99)
N971: H2674(24) H7723(24) H3973(21) H11471(12) H8936(9) H1146(8)
N972: H10642(168) H11622(128) H3834(120) H8781(102) H4754(88) H1516(78)
N973: H6813(99) H8446(82) H1897(72) H2873(70) H11298(66) H10773(61)
N974: H11830(180) H76(99) H1502(99) H2161(90) H6877(90) H9837(81)
N975: H3125(107) H8510(105) H457(101) H1098(79) H1806(70) H8540(70)
N976: H7091(80) H3517(66) H11785(64) H612(54) H807(50) H959(44)
N977: H6670(96) H9359(84) H1995(72) H5138(72) H7867(72) H4484(66)
N978: H1734(74) H11645(55) H1389(47) H1247(40) H3571(40) H10777(27)
N979: H4939(111) H11787(98) H9774(80) H9354(60) H6331(60) H128(53)
N980: H7633(12) H8611(10) H3003(8) H6585(8) H8775(7) H9443(7)
N981: H1068(154) H7383(118) H7763(75) H1918(65) H2117(63) H472(58)
N982: H5582(54) H7753(44) H3677(35) H1859(32) H2425(30) H10579(19)
N983: H2438(69) H11032(53) H3466(50) H6678(50) H7354(50) H8254(48)
N984: H1892(84) H4770(57) H1668(45) H11902(43) H3187(40) H5193(27)
N985: H685(146) H3173(138) H768(120) H5683(100) H10076(94) H229(78)
N986: H7579(145) H4486(143) H7308(95) H8530(85) H7517(60) H7963(44)
N987: H8843(131) H5665(126) H10851(126) H3467(120) H1191(92) H9918(86)
N988: H9595(177) H9995(172) H3020(153) H4461(130) H4278(117) H4988(101)
N989: H6797(78) H7171(70) H5474(64) H9655(48) H11836(40) H783(36)
N990: H10035(60) H11598(40) H2835(36) H9068(30) H6053(28) H7018(20)
N991: H10429(85) H10654(67) H6768(59) H6873(59) H11552(58) H5925(57)
N992: H3936(82) H2953(26) H11898(23) H7148(19) H8243(17) H8483(12)
N993: H3793(216) H6037(206) H4990(192) H5471(120) H8143(101) H11246(97)
N994: H216(182) H10973(154) H1242(129) H1775(112) H2593(75) H2548(64)
N995: H1880(117) H2281(102) H5248(81) H2027(63) H11378(54) H11337(33)
N996: H160(150) H947(150) H9197(140) H10273(135) H5633(110) H6613(60)
N997: H5189(141) H4346(98) H6463(95) H10193(93) H6471(52) H6385(38)
N998: H3498(78) H9630(58) H6869(40) H11994(36) H11001(30) H11707(28)
N999: H2024(56) H6402(50) H5473(42) H3589(40) H460(34) H8897(32)
N1000: H1533(96) H49(80) H902(63) H7604(56) H2763(47) H3278(41)
N1001: H8133(144) H10132(144) H1720(83) H4503(62) H2723(56) H10559(54)
N1002: H6818(132) H132(124) H6717(106) H11496(96) H1573(91) H1386(79)
N1003: H1221(49) H8092(44) H5753(42) H3543(40) H7366(20) H929(13)
N1004: H10162(156) H772(144) H258(118) H11470(104) H4236(82) H11618(80)
N1005: H666(69) H3408(59) H8845(53) H177(50) H8615(43) H11420(21)
N1006: H24(187) H8996(176) H10888(176) H7386(168) H915(154) H1878(150)
N1007: H6655(64) H7397(29) H3940(27) H7325(24) H4907(23) H7138(6)
N1008: H10204(86) H2010(84) H199(52) H4458(40) H6140(40) H8370(38)
N1009: H11588(41) H10904(39) H88(38) H9780(36) H8261(32) H8310(18)
N1010: H9116(151) H8197(91) H153(50) H10046(47) H1315(40) H1840(34)
N1011: H4237(116) H9980(100) H7952(99) H5078(70) H5404(61) H10621(59)
N1012: H5197(92) H11392(78) H681(52) H6297(46) H9136(45) H6362(38)
N1013: H8130(76) H2690(64) H4404(64) H716(44) H7783(42) H11335(36)
N1014: H6624(28) H7008(28) H447(23) H10802(17) H476(16) H538(13)
N1015: H9938(197) H8768(184) H8418(180) H8317(127) H7225(110) H3905(104)
N1016: H9697(155) H9652(145) H2977(138) H3627(125) H6030(101) H5451(99)
N1017: H9244(184) H7767(177) H7981(161) H1344(141) H9615(136) H1823(130)
N1018: H10176(87) H10873(72) H3794(70) H6502(32) H7401(28) H4291(27)
N1019: H2790(143) H816(110) H4271(104) H9817(97) H10095(75) H7962(52)
N1020: H6652(38) H11448(22) H42(20) H8617(16) H2735(12) H9597(12)
N1021: H8970(146) H8414(119) H2199(100) H10388(98) H5114(60) H204(57)
N1022: H1420(57) H795(45) H5413(33) H2140(30) H8695(30) H8024(24)
N1023: H8015(22) H10705(21) H11705(21) H3257(17) H4904(14) H7697(12)
N1024: H4593(122) H11482(117) H8624(81) H8588(74) H1709(56) H10696(47)
N1025: H1268(117) H9639(103) H3797(91) H10797(80) H9704(52) H11146(48)
N1026: H6716(114) H9654(107) H5745(102) H453(53) H3323(39) H8200(39)
N1027: H1183(49) H7374(40) H5019(30) H3481(24) H5302(22) H8215(14)
N1028: H10258(132) H498(103) H2050(96) H2676(70) H9001(65) H74(47)
N1029: H8367(57) H1062(43) H6498(42) H9684(30) H2506(21) H617(20)
N1030: H174(114) H698(58) H8115(46) H9352(46) H4154(36) H1326(36)
N1031: H9035(106) H10898(90) H6754(82) H5229(75) H9859(65) H9246(52)
N1032: H1742(43) H10212(38) H11087(37) H307(25) H5724(24) H11145(20)
N1033: H10474(114) H2445(105) H2568(102) H2900(99) H3310(81) H10545(79)
N1034: H3096(141) H1941(114) H1504(100) H2245(86) H3300(63) H5617(50)
N1035: H3719(121) H6854(100) H6548(80) H8042(63) H8057(56) H13(51)
N1036: H10408(90) H7345(84) H7670(80) H10742(67) H5797(61) H7884(51)
N1037: H1112(92) H9951(88) H1217(66) H138(46) H10916(36) H7694(24)
N1038: H10690(65) H2492(57) H2822(48) H1611(42) H1716(36) H2734(33)
N1039: H6604(94) H4894(84) H1870(82) H4267(82) H11529(82) H11979(74)
N1040: H5219(135) H6240(113) H10620(108) H10564(98) H4015(71) H3964(71)
N1041: H11199(117) H11947(105) H10026(102) H9598(58) H10746(47) H11884(45)
N1042: H8064(96) H1179(48) H10191(38) H193(38) H5562(38) H4160(38)
N1043: H4037(108) H5143(93) H8800(90) H953(63) H10014(51) H4501(51)
N1044: H3271(130) H10344(97) H7589(94) H850(87) H4335(78) H4256(76)
N1045: H10506(98) H2862(81) H2732(80) H1640(67) H3017(66) H8888(44)
N1046: H6068(112) H1388(94) H2611(88) H6470(62) H4358(30) H10894(30)
N1047: H327(80) H7371(67) H9968(58) H5793(50) H6272(48) H7726(39)
N1048: H1193(80) H11665(72) H1580(72) H2258(64) H5735(56) H1331(48)
N1049: H4706(84) H11646(82) H5505(75) H9369(74) H3223(69) H9305(61)
N1050: H3358(81) H4464(80) H9088(36) H9390(36) H6067(30) H9720(26)
N1051: H313(126) H5878(104) H2415(90) H10183(44) H2697(42) H3553(40)
N1052: H11113(96) H11185(90) H3710(89) H11101(79) H1121(70) H2913(46)
N1053: H10615(51) H10647(34) H4961(25) H3126(23) H10501(16) H4185(14)
N1054: H6570(138) H3845(114) H7004(105) H4547(99) H1602(96) H2620(90)
N1055: H8126(69) H7973(63) H10390(60) H1535(56) H8734(54) H7330(44)
N1056: H3541(139) H1258(102) H1686(102) H11895(101) H1809(88) H6651(77)
N1057: H9131(79) H4598(57) H5623(54) H1564(51) H11794(51) H149(48)
